sender_id,receiver_id,timestamp,message_length,sender_department,sender_location,sender_age,receiver_department,receiver_location,receiver_age,month
79,48,2021-06-02 05:41:34,88,Sales,France,33,IT,France,34,6
79,63,2021-06-02 05:42:15,72,Sales,France,33,Sales,France,38,6
79,58,2021-06-02 05:44:24,86,Sales,France,33,Sales,Germany,40,6
79,70,2021-06-02 05:49:07,26,Sales,France,33,Operations,France,47,6
79,109,2021-06-02 19:51:47,73,Sales,France,33,Marketing,Brasil,32,6
79,58,2021-06-03 01:12:11,37,Sales,France,33,Sales,Germany,40,6
144,99,2021-06-03 09:54:41,33,Sales,US,50,Engineering,UK,34,6
144,105,2021-06-03 09:57:02,80,Sales,US,50,IT,US,52,6
144,121,2021-06-03 09:59:16,13,Sales,US,50,Admin,France,43,6
177,32,2021-06-04 07:50:33,32,Operations,Brasil,39,Sales,UK,54,6
177,180,2021-06-04 07:59:18,85,Operations,Brasil,39,Operations,US,35,6
177,180,2021-06-04 08:00:22,75,Operations,Brasil,39,Operations,US,35,6
177,32,2021-06-04 08:01:10,30,Operations,Brasil,39,Sales,UK,54,6
177,32,2021-06-04 08:08:34,26,Operations,Brasil,39,Sales,UK,54,6
177,32,2021-06-04 08:10:44,44,Operations,Brasil,39,Sales,UK,54,6
177,32,2021-06-04 08:17:37,85,Operations,Brasil,39,Sales,UK,54,6
177,32,2021-06-04 08:26:16,42,Operations,Brasil,39,Sales,UK,54,6
186,185,2021-06-04 09:08:46,19,Engineering,France,57,IT,France,39,6
144,185,2021-06-05 00:51:59,67,Sales,US,50,IT,France,39,6
144,32,2021-06-05 00:57:17,16,Sales,US,50,Sales,UK,54,6
221,161,2021-06-05 02:26:19,80,IT,Germany,54,Sales,US,51,6
221,161,2021-06-05 02:32:59,31,IT,Germany,54,Sales,US,51,6
221,161,2021-06-05 02:39:14,82,IT,Germany,54,Sales,US,51,6
221,161,2021-06-05 02:42:20,68,IT,Germany,54,Sales,US,51,6
221,161,2021-06-05 02:45:21,38,IT,Germany,54,Sales,US,51,6
221,161,2021-06-05 02:50:21,29,IT,Germany,54,Sales,US,51,6
221,161,2021-06-05 03:04:18,48,IT,Germany,54,Sales,US,51,6
237,32,2021-06-05 08:47:57,31,Operations,France,41,Sales,UK,54,6
144,185,2021-06-05 10:20:13,21,Sales,US,50,IT,France,39,6
144,222,2021-06-05 10:25:25,70,Sales,US,50,Sales,UK,51,6
144,195,2021-06-05 10:32:29,34,Sales,US,50,IT,US,23,6
144,88,2021-06-05 10:45:10,36,Sales,US,50,IT,US,23,6
144,238,2021-06-05 10:47:16,60,Sales,US,50,Marketing,Germany,36,6
144,240,2021-06-05 10:49:29,27,Sales,US,50,Engineering,France,59,6
144,23,2021-06-05 10:58:42,78,Sales,US,50,Sales,Brasil,39,6
144,32,2021-06-05 11:16:47,65,Sales,US,50,Sales,UK,54,6
144,48,2021-06-05 11:19:34,33,Sales,US,50,IT,France,34,6
144,48,2021-06-05 11:35:09,85,Sales,US,50,IT,France,34,6
144,48,2021-06-05 11:39:57,69,Sales,US,50,IT,France,34,6
144,241,2021-06-05 11:59:41,79,Sales,US,50,Operations,US,42,6
247,248,2021-06-06 00:04:45,36,IT,France,40,Engineering,UK,30,6
144,247,2021-06-06 02:23:25,28,Sales,US,50,IT,France,40,6
260,51,2021-06-06 05:40:43,59,Operations,US,48,Admin,UK,30,6
260,51,2021-06-06 05:49:24,40,Operations,US,48,Admin,UK,30,6
260,51,2021-06-06 06:24:19,14,Operations,US,48,Admin,UK,30,6
260,51,2021-06-06 06:44:20,16,Operations,US,48,Admin,UK,30,6
260,267,2021-06-06 06:44:30,42,Operations,US,48,Admin,Germany,47,6
260,51,2021-06-06 06:55:43,59,Operations,US,48,Admin,UK,30,6
260,51,2021-06-06 06:56:55,64,Operations,US,48,Admin,UK,30,6
144,260,2021-06-06 08:20:05,24,Sales,US,50,Operations,US,48,6
260,127,2021-06-06 09:22:33,24,Operations,US,48,Engineering,UK,35,6
260,199,2021-06-06 09:32:44,14,Operations,US,48,IT,US,55,6
260,127,2021-06-06 09:33:04,59,Operations,US,48,Engineering,UK,35,6
260,127,2021-06-06 09:46:00,35,Operations,US,48,Engineering,UK,35,6
286,221,2021-06-06 10:23:12,24,Sales,UK,52,IT,Germany,54,6
221,3,2021-06-06 11:40:30,19,IT,Germany,54,Operations,US,33,6
260,287,2021-06-06 12:01:39,16,Operations,US,48,Engineering,UK,22,6
260,181,2021-06-06 14:40:08,61,Operations,US,48,Sales,Germany,39,6
